Table E200-1: GDP by major expenditure component and per capita GDP at current market prices,,,,,,,,,,,,,,,,,,,,,,,,,Index
,,,,,,,,,,,,,,,,,,,,,,,,,
GDP expenditure component,,Gross Domestic Product [1],,Per capita GDP,,Domestic demand [2],,Final demand*[3],,Private consumption expenditure,,Government consumption expenditure,,Gross domestic fixed capital formation,,Changes in inventories,Exports of goods* (f.o.b.),,Exports of services*,,Imports of goods* (f.o.b.),,Imports of services*,,
Year,Quarter,HK$ million,Year-on-year % change,HK$,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,HK$ million,Year-on-year % change,
1999,,"1,285,946 ",-1.7 ,"194,649 ",-2.6 ,"1,219,529 ",-6.3 ,"2,669,029 ",-3.0 ,"774,701 ",-3.6 ,"123,605 ",4.7 ,"331,835 ",-16.0 ,"-10,612 ","1,225,322 ",-1.1 ,"224,178 ",6.4 ,"1,060,016 ",-4.6 ,"323,067 ",-2.6 ,
2000,,"1,337,501 ",4.0 ,"200,675 ",3.1 ,"1,278,532 ",4.8 ,"2,964,204 ",11.1 ,"784,323 ",1.2 ,"125,294 ",1.4 ,"354,516 ",6.8 ,"14,399 ","1,439,635 ",17.5 ,"246,037 ",9.8 ,"1,280,002 ",20.8 ,"346,701 ",7.3 ,
2001,,"1,321,142 ",-1.2 ,"196,765 ",-1.9 ,"1,259,175 ",-1.5 ,"2,881,137 ",-2.8 ,"787,594 ",0.4 ,"134,806 ",7.6 ,"340,835 ",-3.9 ,"-4,060 ","1,378,804 ",-4.2 ,"243,158 ",-1.2 ,"1,216,732 ",-4.9 ,"343,263 ",-1.0 ,
2002,,"1,297,341 ",-1.8 ,"192,367 ",-2.2 ,"1,191,516 ",-5.4 ,"2,905,002 ",0.8 ,"752,801 ",-4.4 ,"137,979 ",2.4 ,"295,076 ",-13.4 ,"5,660 ","1,452,130 ",5.3 ,"261,356 ",7.5 ,"1,263,578 ",3.9 ,"344,083 ",0.2 ,
2003,,"1,256,669 ",-3.1 ,"186,704 ",-2.9 ,"1,142,346 ",-4.1 ,"3,037,101 ",4.5 ,"722,961 ",-4.0 ,"138,147 ",0.1 ,"272,127 ",-7.8 ,"9,111 ","1,631,127 ",12.3 ,"263,628 ",0.9 ,"1,442,596 ",14.2 ,"337,836 ",-1.8 ,
2004,,"1,316,949 ",4.8 ,"194,140 ",4.0 ,"1,202,233 ",5.2 ,"3,411,756 ",12.3 ,"771,443 ",6.7 ,"136,354 ",-1.3 ,"287,360 ",5.6 ,"7,076 ","1,891,906 ",16.0 ,"317,617 ",20.5 ,"1,703,214 ",18.1 ,"391,593 ",15.9 ,
2005,,"1,412,125 ",7.2 ,"207,263 ",6.8 ,"1,239,611 ",3.1 ,"3,745,468 ",9.8 ,"811,654 ",5.2 ,"130,566 ",-4.2 ,"302,152 ",5.1 ,"-4,761 ","2,137,419 ",13.0 ,"368,438 ",16.0 ,"1,895,908 ",11.3 ,"437,435 ",11.7 ,
2006,,"1,503,351 ",6.5 ,"219,240 ",5.8 ,"1,335,552 ",7.7 ,"4,119,535 ",10.0 ,"868,691 ",7.0 ,"131,837 ",1.0 ,"337,153 ",11.6 ,"-2,129 ","2,361,062 ",10.5 ,"422,921 ",14.8 ,"2,121,277 ",11.9 ,"494,907 ",13.1 ,
2007,,"1,650,756 ",9.8 ,"238,676 ",8.9 ,"1,474,532 ",10.4 ,"4,551,746 ",10.5 ,"982,368 ",13.1 ,"138,967 ",5.4 ,"340,356 ",1.0 ,"12,841 ","2,574,439 ",9.0 ,"502,775 ",18.9 ,"2,364,930 ",11.5 ,"536,060 ",8.3 ,
2008,,"1,707,487 ",3.4 ,"245,406 ",2.8 ,"1,533,775 ",4.0 ,"4,836,314 ",6.3 ,"1,026,482 ",4.5 ,"148,017 ",6.5 ,"350,796 ",3.1 ,"8,480 ","2,758,181 ",7.1 ,"544,358 ",8.3 ,"2,563,428 ",8.4 ,"565,399 ",5.5 ,
